p,inst,ar_uniform,popt_uniform,ar_prior,popt_prior
1,0,0.9139885490798374,0.0010014835620604351,0.9562628798725278,0.005109869640709025
1,1,0.9197365543049548,0.0009294994443061233,0.9472690898382611,0.006296379358156992
1,2,0.9209872385369016,0.0009593736385833017,0.9481456896342181,0.011622710708336925
1,3,0.909652164169002,0.000148083860493846,0.887646988626351,7.2652024417265e-07
1,4,0.8968358870074452,0.0001356960518110451,0.9236415897638167,0.0008287993589013056
1,5,0.9292025862849252,0.0008513367835226488,0.9490525019159253,0.001230304321876292
1,6,0.932156136512497,0.0009526724759359031,0.9503815704222784,0.0013931583512125417
1,7,0.942478862528005,0.0007783932489196661,0.9682878566301438,0.007789295442530311
1,8,0.9348722624003473,0.0007766813833013978,0.9470317229661255,0.0014550816170596937
1,9,0.9315714056851675,0.0009033707196844698,0.9649972575320618,0.00030898253324482933
1,10,0.9226301777903827,0.0009657252137491284,0.9585409351306116,0.0038575805117341353
1,11,0.9284297625966372,0.0008507740833634334,0.9505793766242795,0.02915226269764171
1,12,0.9327650314684975,0.0007979894597373364,0.9591946321821173,0.0021269156070041696
1,13,0.9241423837508248,0.0009963465878703324,0.9544837374188108,0.0038580290128075734
1,14,0.8921704886864199,0.00016065224067716798,0.8734548732013396,1.0505829772874076e-05
1,15,0.9218835032354873,0.0009854697956743466,0.9477320641201302,0.0012867360316247114
1,16,0.9430528497337032,0.0007368697334679025,0.9692011597193316,0.019985829045702272
1,17,0.9378513913236093,0.0007525935410612151,0.9067493283550467,1.0518088694092654e-05
1,18,0.9191506658886566,0.0010154495896928597,0.9418374444585204,0.004003237627781405
1,19,0.9333011972923827,0.0007901651112556264,0.966666872137773,0.0051491035186920315
2,0,0.9293197768199165,0.004258373141086032,0.9600673031104032,0.007899204726812313
2,1,0.9210474772321239,0.001154023306605281,0.9503991272465225,0.0066952530027634466
2,2,0.9302289695128743,0.0021437918385766867,0.9546105716031245,0.02141263691696186
2,3,0.9328112125950325,0.0009139279683031,0.9519765413855589,0.0015978256952643643
2,4,0.9092090189089608,0.0008085460030494901,0.9620035470363162,0.004027185951965481
2,5,0.934387891177391,0.0012403235403954495,0.9547461289691644,0.002173259117731455
2,6,0.9412513078708961,0.0018390152263257939,0.9557857424058568,0.002220406571197102
2,7,0.9442897673367314,0.0011584210223831715,0.9716924580077388,0.009918753966179158
2,8,0.9411909512814808,0.0010571164328801968,0.9524432137121257,0.0016923085071486915
2,9,0.9318837876130349,0.0008570698727634455,0.971365678753521,0.0004088797420929557
2,10,0.9049790919875498,0.007816871159087666,0.9636740315076858,0.007223253175026344
2,11,0.9284310674035423,0.0008502390680042327,0.9559526333542218,0.03249632435786679
2,12,0.9340179467016482,0.0006739948977476659,0.9606094181443685,0.0017235311859415867
2,13,0.9039644975612148,0.0013886064243497098,0.9594852901105773,0.005591402560937775
2,14,0.8891366326832384,5.1940415493220844e-05,0.9023750970069663,0.0011096596622825583
2,15,0.9295101597721523,0.0018541360243696273,0.953607990834621,0.002809648123070569
2,16,0.9512726291254784,0.0013021272383762364,0.9741900884566883,0.02417888484951521
2,17,0.9402741432298867,0.0009479344140756745,0.9512406927988611,0.0012174967960807005
2,18,0.9285054307977095,0.0023017081509184674,0.9419061546078173,0.003493334465611849
2,19,0.934503015492412,0.0006576845430043545,0.9702793143219838,0.0066016260098445525
3,0,0.9110488197792133,0.005412607052150706,0.9449599253476298,0.002508339854494112
3,1,0.9224987857301703,0.001376138291239548,0.9486377556728066,0.009094205922223257
3,2,0.9266961871174498,0.002502818565735876,0.955626386187882,0.02960090407251131
3,3,0.9140988971858718,0.013245964797449465,0.9494770560501851,0.0010819413434423706
3,4,0.9068829688646328,1.6151064664254215e-05,0.9600591047650582,0.004077071554500007
3,5,0.9376404001873886,0.0015643017914106292,0.9590150049446394,0.0032629159815102376
3,6,0.9456659741008179,0.0032989139355785076,0.9455975594600949,0.0010406515700251246
3,7,0.9488577147627395,0.0023012316055416137,0.9732751807343748,0.009660926518267486
3,8,0.9362129233363338,0.000973529302318064,0.9484557595626535,0.0015749139098751412
3,9,0.9203526231189546,0.002839639961498556,0.9720110477064384,0.0015111228824848902
3,10,0.923152764898346,0.0010084206997692832,0.9636542764057705,0.007281688188918016
3,11,0.9393632861662605,0.002324358564860886,0.958096049263983,0.048045309488814185
3,12,0.9476708631216098,0.0033082789236715164,0.9659966579990505,0.00437681917773248
3,13,0.9307164962761437,0.0021211613611884744,0.9593929231816133,0.008813658053078117
3,14,0.8819071663089384,0.00010913905752646544,0.9119264622392533,0.0035964550482701927
3,15,0.9107555476208335,0.004796497063015497,0.9489417977557446,0.0011346673384650201
3,16,0.9459627608842315,0.003902599661221938,0.974144431405315,0.025024966424444087
3,17,0.9403939873846014,0.0009316668098173364,0.9532097757087581,0.0006901812105901372
3,18,0.9066151237745389,0.009452243992115738,0.945946628151595,0.008271389084333057
3,19,0.9315891015470751,0.011616643504120523,0.9497915327184739,0.0011312576208548195
