ablation,setting,seed,survivable,latency,lam2,energy,budget
A_components,none,5,0.5808823529411765,120,,,
A_components,warm-start,5,0.625,96,,,
A_components,warm-start+pull,5,0.9632352941176471,120,,,
B_weight,W=0,5,0.9632352941176471,,0.027539532905744787,,
B_weight,W=1,5,0.9632352941176471,,0.027539532905744787,,
B_weight,W=2,5,0.9632352941176471,,0.027539532905744787,,
B_weight,W=5,5,0.9632352941176471,,0.027539532905744787,,
C_budget,frac=0.025,5,0.9632352941176471,,,0.5951281360158686,0.39051115097562983
C_budget,frac=0.035,5,0.9632352941176471,,,0.5951281360158686,0.5467156113658818
C_budget,frac=0.05,5,0.9852941176470589,,,0.7685270301778435,0.7810223019512597
C_budget,frac=0.07,5,0.9926470588235294,,,1.0872520395427852,1.0934312227317635
A_components,none,0,0.9555555555555556,47,,,
A_components,warm-start,0,0.9481481481481482,58,,,
A_components,warm-start+pull,0,0.9555555555555556,54,,,
B_weight,W=0,0,1.0,,0.03678187811944972,,
B_weight,W=1,0,1.0,,0.05506221064824809,,
B_weight,W=2,0,0.9555555555555556,,0.06493486596178524,,
B_weight,W=5,0,0.9555555555555556,,0.06493486596178524,,
C_budget,frac=0.025,0,0.9185185185185185,,,0.35078998062655303,0.3631441628436097
C_budget,frac=0.035,0,0.9555555555555556,,,0.48315945280695743,0.5084018279810536
C_budget,frac=0.05,0,0.9925925925925926,,,0.6891168140060203,0.7262883256872193
C_budget,frac=0.07,0,1.0,,,1.0063180532186145,1.0168036559621072
A_components,none,1,0.8222222222222222,20,,,
A_components,warm-start,1,0.9925925925925926,22,,,
A_components,warm-start+pull,1,1.0,42,,,
B_weight,W=0,1,1.0,,0.04366031360940665,,
B_weight,W=1,1,1.0,,0.0465182458716058,,
B_weight,W=2,1,1.0,,0.05043554787507097,,
B_weight,W=5,1,0.9629629629629629,,0.0636674515431734,,
C_budget,frac=0.025,1,0.9111111111111111,,,0.33441028379909443,0.3426555315712813
C_budget,frac=0.035,1,1.0,,,0.47683951270231584,0.47971774419979385
C_budget,frac=0.05,1,1.0,,,0.6608486109233034,0.6853110631425626
C_budget,frac=0.07,1,1.0,,,0.9113711807187314,0.9594354883995877
A_components,none,2,0.8731343283582089,61,,,
A_components,warm-start,2,0.8283582089552238,120,,,
A_components,warm-start+pull,2,1.0,64,,,
B_weight,W=0,2,1.0,,0.04449040808022481,,
B_weight,W=1,2,1.0,,0.04750250013342499,,
B_weight,W=2,2,1.0,,0.04750250013342499,,
B_weight,W=5,2,0.9776119402985075,,0.04010285145558133,,
C_budget,frac=0.025,2,0.8656716417910447,,,0.40469227991232143,0.3702265103733597
C_budget,frac=0.035,2,1.0,,,0.4961825561658037,0.5183171145227036
C_budget,frac=0.05,2,1.0,,,0.7157774400774215,0.7404530207467194
C_budget,frac=0.07,2,1.0,,,0.9937257886912007,1.0366342290454071
A_components,none,4,0.9852941176470589,45,,,
A_components,warm-start,4,0.9852941176470589,41,,,
A_components,warm-start+pull,4,0.9926470588235294,28,,,
B_weight,W=0,4,0.9926470588235294,,0.03111201163550092,,
B_weight,W=1,4,0.9926470588235294,,0.0414441442598092,,
B_weight,W=2,4,0.9926470588235294,,0.04784092683789173,,
B_weight,W=5,4,0.9852941176470589,,0.04660788575781997,,
C_budget,frac=0.025,4,0.9926470588235294,,,0.3512425724013229,0.3544485745071878
C_budget,frac=0.035,4,0.9926470588235294,,,0.48968153956036337,0.4962280043100629
C_budget,frac=0.05,4,0.9926470588235294,,,0.6636214404829727,0.7088971490143756
C_budget,frac=0.07,4,0.9926470588235294,,,0.9720058247232293,0.9924560086201258
A_components,none,3,0.9852941176470589,120,,,
A_components,warm-start,3,0.9852941176470589,120,,,
A_components,warm-start+pull,3,0.9852941176470589,120,,,
B_weight,W=0,3,0.9852941176470589,,0.05955490640679394,,
B_weight,W=1,3,0.9852941176470589,,0.05955490640679394,,
B_weight,W=2,3,0.9852941176470589,,0.05955490640679394,,
B_weight,W=5,3,0.9852941176470589,,0.05955490640679394,,
